Technology (Process),PyPSA technology,Sector,Set,Description,Activity unit,Capacity unit,Type,Primary commodity group,Time slice level,Vintage,Aggregation Level 1,Aggregation Level 2
Dum_Retrofit,Dum_Retrofit,RSD,.IMP.IRE.,Dum_Retrofit,MM2,MM2-A,IRE,Dum_Retrofit_NRGO,ANNUAL,"0,00",Dum_Retrofit,Dum_Retrofit
Dum_Retrofit_Commercial,Dum_Retrofit_Commercial,COM,.IMP.IRE.,Dum_Retrofit_Commercial,MM2,MM2-A,IRE,Dum_Retrofit_Commercial_NRGO,ANNUAL,"0,00",Dum_Retrofit_Commercial,Dum_Retrofit_Commercial
ECHPP_CCGT-CHP_GAS_N,CHP,ELC,.CHP.,New Public - CCGT advanced CHP,PJ,GW,CHP,ECHPP_CCGT-CHP_GAS_N_NRGO,DAYNITE,"1,00",CHP,CHP
ECHPP_COM_BGS_E05,CHP,ELC,.CHP.,Existing thermal - CHP - Commercial - E05,PJ,GW,CHP,ECHPP_COM_BGS_E05_NRGO,DAYNITE,"0,00",CHP,CHP
ECHPP_COM_CPS_E01,CHP,ELC,.CHP.,Existing thermal - CHP - Commercial - E01,PJ,GW,CHP,ECHPP_COM_CPS_E01_NRGO,DAYNITE,"0,00",CHP,CHP
ECHPP_COM_GAS_E04,CHP,ELC,.CHP.,Existing thermal - CHP - Commercial - E04,PJ,GW,CHP,ECHPP_COM_GAS_E04_NRGO,DAYNITE,"0,00",CHP,CHP
ECHPP_COM_OIL_E06,CHP,ELC,.ELE.,Existing thermal - CHP - Commercial - E07,PJ,GW,ELE,ELCHIG,DAYNITE,"0,00",CHP,CHP
ECHPP_COM_PEL_E03,CHP,ELC,.CHP.,Existing thermal - CHP - Commercial - E03,PJ,GW,CHP,ECHPP_COM_PEL_E03_NRGO,DAYNITE,"0,00",CHP,CHP
ECHPP_MOT_BGS_E01,CHP,ELC,.CHP.,Existing Thermal Public - CHP - Moteur  - E01,PJ,GW,CHP,ECHPP_MOT_BGS_E01_NRGO,DAYNITE,"0,00",CHP,CHP
ECHPP_MOT_BIO_E02,CHP,ELC,.CHP.,Existing Thermal Public - CHP - Moteur  - E02,PJ,GW,CHP,ECHPP_MOT_BIO_E02_NRGO,DAYNITE,"0,00",CHP,CHP
ECHPP_MOT_GAS_E04,CHP,ELC,.CHP.,Existing Thermal Public - CHP - Moteur  - E04,PJ,GW,CHP,ECHPP_MOT_GAS_E04_NRGO,DAYNITE,"0,00",CHP,CHP
ECHPP_MOT_OIL_E03,CHP,ELC,.CHP.,Existing Thermal Public - CHP - Moteur  - E03,PJ,GW,CHP,ECHPP_MOT_OIL_E03_NRGO,DAYNITE,"0,00",CHP,CHP
ELCBGS00,Fuel Tech - BioGas,ELC,.PRE.,Fuel Tech - BioGas (ELC),PJ,PJA,PRE,ELCBGS,ANNUAL,"0,00",Fuel Tech - BioGas,Fuel Tech - Natural Gas biogas mixed
ELCBIO00,Fuel Tech - Biomass,ELC,.PRE.,Fuel Tech - Biomass (ELC),PJ,PJA,PRE,ELCBIO,ANNUAL,"0,00",Fuel Tech - Biomass,Local production
ELCCPS00,Fuel Tech - Wood Chips,ELC,.PRE.,Fuel Tech - Wood Chips (ELC),PJ,PJA,PRE,ELCCPS,ANNUAL,"0,00",Fuel Tech - Wood Chips,Fuel Tech - Wood Chips
ELCGAS00,Fuel Tech - Natural Gas,ELC,.PRE.,Fuel Tech - Natural Gas (ELC),PJ,PJA,PRE,ELCGAS,ANNUAL,"0,00",Fuel Tech - Natural Gas,Fuel Tech - Natural Gas
ELCHYD00,Fuel Tech - Hydro,ELC,.PRE.,Fuel Tech - Hydro (ELC),PJ,PJA,PRE,ELCHYD,ANNUAL,"0,00",Fuel Tech - Hydro,Fuel Tech - Hydro
ELCNUC00,Fuel Tech - Nuclear,ELC,.PRE.,Fuel Tech - Nuclear (ELC),PJ,PJA,PRE,ELCNUC,ANNUAL,"0,00",Fuel Tech - Nuclear,Fuel Tech - Nuclear
ELCOIL00,Fuel Tech - Oil,ELC,.PRE.,Fuel Tech - Oil (ELC),PJ,PJA,PRE,ELCOIL,ANNUAL,"0,00",Fuel Tech - Oil,Oil
ELCPEL00,Fuel Tech - Wood Pellets,ELC,.PRE.,Fuel Tech - Wood Pellets (ELC),PJ,PJA,PRE,ELCPEL,ANNUAL,"0,00",Fuel Tech - Wood Pellets,Fuel Tech - Wood Pellets
ELCSLU00,Fuel Tech - Wastes Renewable,ELC,.PRE.,Fuel Tech - Wastes Renewable (ELC),PJ,PJA,PRE,ELCSLU,ANNUAL,"0,00",Fuel Tech - Wastes Renewable,Fuel Tech - Wastes Renewable
ELCSOL00,Fuel Tech - Solar,ELC,.PRE.,Fuel Tech - Solar (ELC),PJ,PJA,PRE,ELCSOL,ANNUAL,"0,00",Fuel Tech - Solar,Solar
ELCWIN00,Fuel Tech - Wind,ELC,.PRE.,Fuel Tech - Wind (ELC),PJ,PJA,PRE,ELCWIN,ANNUAL,"0,00",Fuel Tech - Wind,Fuel Tech - Wind
ELCWST00,Fuel Tech - Wastes Non-Renewable,ELC,.PRE.,Fuel Tech - Wastes Non-Renewable (ELC),PJ,PJA,PRE,ELCWST,ANNUAL,"0,00",Fuel Tech - Wastes Non-Renewable,Fuel Tech - Wastes Non-Renewable
ENUC_Thiange,ENUC_Thiange,ELC,.ELE.,Existing Nuclear Power Plant - 859,PJ,GW,ELE,ELCHIG,DAYNITE,"0,00",ENUC_Thiange,ENUC_Thiange
ERNW_Eolien_Big_E1,Wind Turbine,ELC,.ELE.,Wind Turbine >2000kW,PJ,GW,ELE,ELCHIG,DAYNITE,"0,00",Wind Turbine,Wind Turbine
ERNW_Eolien_Medium_E3,Wind Turbine,ELC,.ELE.,Wind Turbine >100 et <=2000 kW,PJ,GW,ELE,ELCHIG,DAYNITE,"0,00",Wind Turbine,Wind Turbine
ERNW_Eolien_Small_E4,Wind Turbine,ELC,.ELE.,Wind Turbine <=100 kW,PJ,GW,ELE,ELCHIG,DAYNITE,"0,00",Wind Turbine,Wind Turbine
ERNW_HYD_HYD_N,Hydro turbine,ELC,.ELE.,New Public - Hydro new 300 kW,PJ,GW,ELE,ELCHIG,DAYNITE,"1,00",Hydro turbine,Hydro turbine
ERNW_Hydro_Big_E5,Hydro turbine,ELC,.ELE.,Hydro run of river >10000 kW,PJ,GW,ELE,ELCHIG,ANNUAL,"0,00",Hydro turbine,Hydro turbine
ERNW_Hydro_Medium_E6,Hydro turbine,ELC,.ELE.,Hydro run of river >1000 et <=10000 kW,PJ,GW,ELE,ELCHIG,ANNUAL,"0,00",Hydro turbine,Hydro turbine
ERNW_Hydro_Pompage_E8,Pumped hydro,ELC,.ELE.STGTSS.,Hydro pump storage,PJ,GW,ELE,ELCHIG,DAYNITE,"0,00",Pumped hydro,Pumped hydro
ERNW_Hydro_Small_E7,Hydro turbine,ELC,.ELE.,Hydro run of river <=1000 kW,PJ,GW,ELE,ELCHIG,ANNUAL,"0,00",Hydro turbine,Hydro turbine
ERNW_PV-Buildings_SOL_N,PV,ELC,.ELE.,New Public - Solar PV Buildings 100 kW (10-500 KW TERT RES AGRI PKGS),PJ,GW,ELE,ERNW_PV-Buildings_SOL_N_NRGO,DAYNITE,"1,00",PV,PV
ERNW_PV-GreenField_SOL_N,PV,ELC,.ELE.,New Public - Solar PV Greenfield 10 MW ( 1-30 MW),PJ,GW,ELE,ERNW_PV-GreenField_SOL_N_NRGO,DAYNITE,"1,00",PV,PV
ERNW_PV-Large_Roof_SOL_N,PV,ELC,.ELE.,New Public - Solar PV Large Roofs  1 MW (1-5 MW  IND CCIAL LOGIST PKGS),PJ,GW,ELE,ERNW_PV-Large_Roof_SOL_N_NRGO,DAYNITE,"1,00",PV,PV
ERNW_WINON_WIN_N,Renewables,ELC,.ELE.,New Public - Wind Onshore Large,PJ,GW,ELE,ELCHIG,DAYNITE,"1,00",Renewables,Renewables
ETSTP_CCGT-CCS_PostC_GAS_N,Gas power plants,ELC,.ELE.,New Thermal Public - CCGT advanced CCS post combustion,PJ,GW,ELE,ELCHIG,DAYNITE,"1,00",Gas power plants,Gas power plants
ETSTP_CCGT_GAS_N,Gas power plants,ELC,.ELE.,New Thermal Public - Combined Cycle Gas Turbine advanced.,PJ,GW,ELE,ELCHIG,DAYNITE,"1,00",Gas power plants,Gas power plants
ETSTP_MOT_BGS_E09,Gas power plants,ELC,.ELE.,Existing Thermal Public - Pure ELC - Moteur  - E09,PJ,GW,ELE,ELCHIG,DAYNITE,"0,00",Gas power plants,Gas power plants
ETSTP_TAG_GAS_E06,Gas power plants,ELC,.ELE.,Existing Thermal Public - Pure ELC - Turbine à natural gaz   - E06,PJ,GW,ELE,ELCHIG,DAYNITE,"0,00",Gas power plants,Gas power plants
ETSTP_TGV_GAS_E01,Gas power plants,ELC,.ELE.,Existing Thermal Public - Pure ELC - Turbine gaz à vapeur - E01,PJ,GW,ELE,ELCHIG,DAYNITE,"0,00",Gas power plants,Gas power plants
ETSTP_TGV_GAS_E02,Gas power plants,ELC,.ELE.,Existing Thermal Public - Pure ELC - Turbine gaz à vapeur - E02,PJ,GW,ELE,ELCHIG,DAYNITE,"0,00",Gas power plants,Gas power plants
ETSTP_TGV_GAS_E03,Gas power plants,ELC,.ELE.,Existing Thermal Public - Pure ELC - Turbine gaz à vapeur - E03,PJ,GW,ELE,ELCHIG,DAYNITE,"0,00",Gas power plants,Gas power plants
ETSTP_TGV_GAS_E04,Gas power plants,ELC,.ELE.,Existing Thermal Public - Pure ELC - Turbine gaz à vapeur - E04,PJ,GW,ELE,ELCHIG,DAYNITE,"0,00",Gas power plants,Gas power plants
ETSTP_TVC_WST_E11,CHP,ELC,.CHP.,Existing Thermal Public - Pure ELC - Turbine vapeur à condensation - E11,PJ,GW,CHP,ETSTP_TVC_WST_E11_NRGO,DAYNITE,"0,00",CHP,CHP
EVTRANS_H-H,EVTRANS_H-H,ELC,.PRE.,Grid High Voltage,PJ,GW,PRE,ELCHIGG,DAYNITE,"0,00",EVTRANS_H-H,EVTRANS_H-H
EVTRANS_H-M,EVTRANS_H-M,ELC,.PRE.,Grid medium Voltage and Voltage Transformer: High to Medium,PJ,GW,PRE,ELCMED,DAYNITE,"0,00",EVTRANS_H-M,EVTRANS_H-M
EVTRANS_M-L,EVTRANS_M-L,ELC,.PRE.,Grid low Voltage and Voltage Transformer: Medium to Low,PJ,GW,PRE,ELCLOW,DAYNITE,"0,00",EVTRANS_M-L,EVTRANS_M-L
EXPBIOLOG,Export biomass,SUP,.EXP.IRE.,Export Wood Logs,PJ,-,IRE,BIOLOG,ANNUAL,"0,00",Export biomass,Export biomass
EXPBIOPEL,Export biomass,SUP,.EXP.IRE.,Export Wood Pellets,PJ,-,IRE,BIOPEL,ANNUAL,"0,00",Export biomass,Export biomass
EXPELCHIG,Electricity export (All),ELC,.EXP.IRE.,Electricity export (All),PJ,-,IRE,ELCHIG,DAYNITE,"0,00",Electricity export (All),Electricity export (All)
IAMADVPRO10,IND_DMD_MT_MT,IND,.DMD.,IAM.Advanced Production.10.,MT,MT,DMD,IAM,ANNUAL,"1,00",IND_DMD_MT_MT,IND_DMD_MT_MT
IAMSTDPRO00,IND_DMD_MT_MTA,IND,.DMD.,IAM.Standard Production.00.,MT,MTA,DMD,IAM,ANNUAL,"0,00",IND_DMD_MT_MTA,IND_DMD_MT_MTA
IAMSTDPRO01,IND_DMD_MT_MT,IND,.DMD.,IAM.Standard Production.01,MT,MT,DMD,IAMSTDPRO01_DEMO,ANNUAL,"1,00",IND_DMD_MT_MT,IND_DMD_MT_MT
IBKSTDPRO00,Energy demands for industrial processes,IND,.DMD.,IBK.bricks.production.standard,PJ,PJA,DMD,IBK,ANNUAL,"0,00",Industry,Industry
IBKSTDPRO01,IND_DMD_MT_MT,IND,.DMD.,IBK.bricks.production.standard.01,MT,MT,DMD,IBK,ANNUAL,"1,00",IND_DMD_MT_MT,IND_DMD_MT_MT
IBOBIOPEL00,IBO.production.wood.pellets.00,IND,.PRE.,IBO.production.wood.pellets.00,PJ,PJA,PRE,BIOPEL,ANNUAL,"0,00",Industry,Industry
IBOBIOPEL01,industrial processes,IND,.PRE.,IBE.production.wood.pellets.01,PJ,PJA,PRE,BIOPEL,ANNUAL,"1,00",Industry,Industry
IBOHTHSTMCPS01,industrial processes,IND,.PRE.,IBO.wood.Process Heat.CPS.01,PJ,GW,PRE,IBOHTH,ANNUAL,"1,00",Industry,Industry
IBOPROD00,Energy demands for industrial processes,IND,.DMD.,IBO.Production.Wood.products.00,PJ,PJA,DMD,IBO,ANNUAL,"0,00",Industry,Industry
IBOPROD01,IND_DMD_MM3_MM3,IND,.DMD.,IBO.Production.Wood.products.01,MM3,MM3,DMD,IBO,ANNUAL,"1,00",IND_DMD_MM3_MM3,IND_DMD_MM3_MM3
IBOSTMGAS00,industrial processes,IND,.PRE.,IBO.Generic Boiler.GAS,PJ,PJA,PRE,IBOHTH,ANNUAL,"0,00",Industry,Industry
IBOSTMOIL00,industrial processes,IND,.PRE.,IBO.Generic Boiler.OIL,PJ,PJA,PRE,IBOHTH,ANNUAL,"0,00",Industry,Industry
IBOSTMSOLID00,industrial processes,IND,.PRE.,IBO.Generic Boiler.Solids,PJ,PJA,PRE,IBOHTH,ANNUAL,"0,00",Industry,Industry
ICESTDPRO00,Energy demands for industrial processes,IND,.DMD.,ICE.Ceramics.production.standard,PJ,PJA,DMD,ICE,ANNUAL,"0,00",Industry,Industry
ICESTDPRO01,IND_DMD_MT_MT,IND,.DMD.,ICE.Ceramics.production.standard.01,MT,MT,DMD,ICE,ANNUAL,"1,00",IND_DMD_MT_MT,IND_DMD_MT_MT
ICHDEMAND00,Energy demands for industrial processes,IND,.DMD.,ICH.Other Chemicals.00.,PJ,PJA,DMD,ICH,ANNUAL,"0,00",Industry,Industry
ICHELEELC00,industrial processes,IND,.PRE.,ICH.Other Chemicals.Electro-Chemical Processes.ELC.00,PJ,PJA,PRE,ICHELE,ANNUAL,"0,00",Industry,Industry
ICHELEELC01,industrial processes,IND,.PRE.,ICHELEELC01,PJ,PJA,PRE,ICHELE,ANNUAL,"1,00",Industry,Industry
ICHMCHELC00,industrial processes,IND,.PRE.,ICH.Other Chemicals.Machine Drive.ELC.00,PJ,PJA,PRE,ICHMCH,ANNUAL,"0,00",Industry,Industry
ICHMCHELC01,industrial processes,IND,.PRE.,ICHMCHELC01,PJ,PJA,PRE,ICHMCH,ANNUAL,"1,00",Industry,Industry
ICHOTH-NRG,industrial processes,IND,.PRE.,ICH: Other energy uses,PJ,PJA,PRE,ICHOTH,ANNUAL,"0,00",Industry,Industry
ICHPACELC01,industrial processes,IND,.PRE.,Heat pump,PJ,GW,PRE,ICHHTH,ANNUAL,"1,00",Industry,Industry
ICHPRCCOA00,industrial processes,IND,.PRE.,ICH.Other Chemicals.Process Heat.COA.00,PJ,PJA,PRE,ICHPRC,ANNUAL,"0,00",Industry,Industry
ICHPRCCOA01,industrial processes,IND,.PRE.,ICHPRCCOA01,PJ,GW,PRE,ICHPRC,ANNUAL,"1,00",Industry,Industry
ICHPRCCOK01,industrial processes,IND,.PRE.,ICHPRCCOK01,PJ,GW,PRE,ICHPRC,ANNUAL,"1,00",Industry,Industry
ICHPRCCPS00,industrial processes,IND,.PRE.,ICH.Other Chemicals.Process Heat.CPS.00,PJ,PJA,PRE,ICHPRC,ANNUAL,"0,00",Industry,Industry
ICHPRCCPS01,industrial processes,IND,.PRE.,ICHPRCCPS01,PJ,GW,PRE,ICHPRC,ANNUAL,"1,00",Industry,Industry
ICHPRCGAS00,industrial processes,IND,.PRE.,ICH.Other Chemicals.Process Heat.GAS.00,PJ,PJA,PRE,ICHPRC,ANNUAL,"0,00",Industry,Industry
ICHPRCHFO00,industrial processes,IND,.PRE.,ICH.Other Chemicals.Process Heat.HFO.00,PJ,PJA,PRE,ICHPRC,ANNUAL,"0,00",Industry,Industry
ICHSTMBGS01,industrial processes,IND,.PRE.,ICHSTMBGS01,PJ,GW,PRE,ICHHTH,ANNUAL,"1,00",Industry,Industry
ICHSTMCOA00,industrial processes,IND,.PRE.,ICH.Other Chemicals.Steam.COA.00,PJ,GW,PRE,ICHHTH,ANNUAL,"0,00",Industry,Industry
ICHSTMCPS00,industrial processes,IND,.PRE.,ICH.Other Chemicals.Steam.CPS.00,PJ,GW,PRE,ICHHTH,ANNUAL,"0,00",Industry,Industry
ICHSTMCPS01,industrial processes,IND,.PRE.,ICHSTMCPS01,PJ,GW,PRE,ICHHTH,ANNUAL,"1,00",Industry,Industry
ICHSTMELC01,industrial processes,IND,.PRE.,ICHSTMELC01,PJ,GW,PRE,ICHHTH,ANNUAL,"1,00",Industry,Industry
ICHSTMGAS00,industrial processes,IND,.PRE.,ICH.Other Chemicals.Steam.GAS.01,PJ,GW,PRE,ICHHTH,ANNUAL,"0,00",Industry,Industry
ICHSTMGMX00,industrial processes,IND,.PRE.,ICH.Other Chemicals.Steam.GAS.00,PJ,GW,PRE,ICHHTH,ANNUAL,"0,00",Industry,Industry
ICHSTMHET00,industrial processes,IND,.PRE.,ICH.Other Chemicals.Steam.HET.00,PJ,GW,PRE,ICHHTH,ANNUAL,"0,00",Industry,Industry
ICHSTMHET01,industrial processes,IND,.PRE.,ICHSTMHET01,PJ,GW,PRE,ICHHTH,ANNUAL,"1,00",Industry,Industry
ICHSTMHFO00,industrial processes,IND,.PRE.,ICH.Other Chemicals.Steam.HFO.00,PJ,GW,PRE,ICHHTH,ANNUAL,"0,00",Industry,Industry
ICHSTMLFO00,industrial processes,IND,.PRE.,ICH.Other Chemicals.Steam.LFO.00,PJ,GW,PRE,ICHHTH,ANNUAL,"0,00",Industry,Industry
ICHSTMLPG00,industrial processes,IND,.PRE.,ICH.Other Chemicals.Steam.LPG.00,PJ,GW,PRE,ICHHTH,ANNUAL,"0,00",Industry,Industry
ICMDRYPRD00,IND_PRE_MT_MTA,IND,.PRE.,ICM.Dry Process Production.00.,MT,MTA,PRE,MCMCLK,ANNUAL,"0,00",IND_PRE_MT_MTA,IND_PRE_MT_MTA
ICMDRYPRD10,IND_PRE_MT_MT,IND,.PRE.,ICM.Dry Process Production.01,MT,MT,PRE,MCMCLK,ANNUAL,"1,00",IND_PRE_MT_MT,IND_PRE_MT_MT
ICMFINPRO00,IND_DMD_MT_MTA,IND,.DMD.,ICM.Finishing Processes.00.,MT,MTA,DMD,ICM,ANNUAL,"0,00",IND_DMD_MT_MTA,IND_DMD_MT_MTA
ICMFINPRO01,IND_DMD_MT_MT,IND,.DMD.,ICM.Finishing Processes.01,MT,MT,DMD,ICM,ANNUAL,"1,00",IND_DMD_MT_MT,IND_DMD_MT_MT
ICMPRC20,IND_PRE_MT_MT,IND,.PRE.,ICM.Dry Process Production oxycomb.01,MT,MT,PRE,MCMCLK,ANNUAL,"1,00",IND_PRE_MT_MT,IND_PRE_MT_MT
ICMPRC21,IND_PRE_MT_MT,IND,.PRE.,ICM.Dry Process Production oxycomb.02,MT,MT,PRE,MCMCLK,ANNUAL,"1,00",IND_PRE_MT_MT,IND_PRE_MT_MT
ICMPRCCOA00,industrial processes,IND,.PRE.,ICM.Generic fuel kiln.COA,PJ,PJA,PRE,ICMPRC,ANNUAL,"0,00",Industry,Industry
ICMPRCCOK00,industrial processes,IND,.PRE.,ICM.Generic fuel kiln.COL,PJ,PJA,PRE,ICMPRC,ANNUAL,"0,00",Industry,Industry
ICMPRCCOL00,industrial processes,IND,.PRE.,ICM.Generic fuel kiln.COL,PJ,PJA,PRE,ICMPRC,ANNUAL,"0,00",Industry,Industry
ICMPRCGAS00,industrial processes,IND,.PRE.,ICM.Generic fuel kiln.GAS,PJ,PJA,PRE,ICMPRC,ANNUAL,"0,00",Industry,Industry
ICMPRCHFO00,industrial processes,IND,.PRE.,ICM.Generic fuel kiln.HFO,PJ,PJA,PRE,ICMPRC,ANNUAL,"0,00",Industry,Industry
ICMPRCSLU00,industrial processes,IND,.PRE.,ICM.Generic fuel kiln.SLU,PJ,PJA,PRE,ICMPRC,ANNUAL,"0,00",Industry,Industry
ICMPRDCC_02,IND_PRE_MT_MT,IND,.PRE.,ICM. LEILAC.02,MT,MT,PRE,ICM,ANNUAL,"1,00",IND_PRE_MT_MT,IND_PRE_MT_MT
ICMWETPRD00,IND_PRE_MT_MTA,IND,.PRE.,ICM.Wet Process Production.00.,MT,MTA,PRE,MCMCLK,ANNUAL,"0,00",IND_PRE_MT_MTA,IND_PRE_MT_MTA
IGFFLATGL00,IND_DMD_MT_MTA,IND,.DMD.,IGF.Glass Flat.00.,MT,MTA,DMD,IGF,ANNUAL,"0,00",IND_DMD_MT_MTA,IND_DMD_MT_MTA
IGFFLATGL01,IND_DMD_MT_MT,IND,.DMD.,IGF.glass production.01,MT,MT,DMD,IGF,ANNUAL,"1,00",IND_DMD_MT_MT,IND_DMD_MT_MT
IGFFLATOXYCC01,IND_DMD_MT_MT,IND,.DMD.,IGF.glass production.03,MT,MT,DMD,IGF,ANNUAL,"1,00",IND_DMD_MT_MT,IND_DMD_MT_MT
IGHHOLLOW00,IND_DMD_MT_MTA,IND,.DMD.,IGH.Glass Hollow.00.,MT,MTA,DMD,IGH,ANNUAL,"0,00",IND_DMD_MT_MTA,IND_DMD_MT_MTA
IGHHOLLOW01,IND_DMD_MT_MT,IND,.DMD.,IGH.glass production.01,MT,MT,DMD,IGH,ANNUAL,"1,00",IND_DMD_MT_MT,IND_DMD_MT_MT
IGHHOLLOWOXYCC01,IND_DMD_MT_MT,IND,.DMD.,IGH.glass production.03,MT,MT,DMD,IGH,ANNUAL,"1,00",IND_DMD_MT_MT,IND_DMD_MT_MT
IGHOTOCC01,IND_DMD_MT_MT,IND,.DMD.,IGO.fiberglassproduction.03,MT,MT,DMD,IGO,ANNUAL,"1,00",IND_DMD_MT_MT,IND_DMD_MT_MT
IGHOTSTD01,IND_DMD_MT_MT,IND,.DMD.,IGO.fiberglassproduction.01,MT,MT,DMD,IGO,ANNUAL,"1,00",IND_DMD_MT_MT,IND_DMD_MT_MT
IGHRECYCL00,IND_DMD_MT_MTA,IND,.DMD.,IGO.Glass Recycling.00.,MT,MTA,DMD,IGO,ANNUAL,"0,00",IND_DMD_MT_MTA,IND_DMD_MT_MTA
IISBLAFURTGR,IND_PRE_MT_MT,IND,.PRE.,IIS.Iron Oxygen Blast Furnace Top GMX Recirculation.10.,MT,MT,PRE,MISRIR,ANNUAL,"1,00",IND_PRE_MT_MT,IND_PRE_MT_MT
IISBOXSCR01,IND_PRE_MT_MT,IND,.PRE.,IIS.Blast Oxygen Furnace BOF.Scrap.01,MT,MT,PRE,MISCST,ANNUAL,"1,00",IND_PRE_MT_MT,IND_PRE_MT_MT
IISDRIEAF01,IND_PRE_MT_MT,IND,.PRE.,IIS.Electric Arc Furnace for DRI.01,MT,MT,PRE,MISCST,ANNUAL,"1,00",IND_PRE_MT_MT,IND_PRE_MT_MT
IISDRISPN01,IND_PRE_MT_MT,IND,.PRE.,IIS.Iron Sponge Iron for DRI.01,MT,MT,PRE,MISDIR,ANNUAL,"1,00",IND_PRE_MT_MT,IND_PRE_MT_MT
IISELAFUR00,IND_PRE_MT_MTA,IND,.PRE.,IIS.Electric Arc Furnace.00.,MT,MTA,PRE,MISCST,ANNUAL,"0,00",IND_PRE_MT_MTA,IND_PRE_MT_MTA
IISELAFUR01,IND_PRE_MT_MT,IND,.PRE.,IIS.Electric Arc Furnace.01,MT,MT,PRE,MISCST,ANNUAL,"1,00",IND_PRE_MT_MT,IND_PRE_MT_MT
IISFINPRO00,IND_DMD_MT_MTA,IND,.DMD.,IIS.Finishing Processes.00.,MT,MTA,DMD,IIS,ANNUAL,"0,00",IND_DMD_MT_MTA,IND_DMD_MT_MTA
IISFINPRO02,IND_DMD_MT_MT,IND,.DMD.,IISFINPRO02,MT,MT,DMD,IIS,ANNUAL,"1,00",IND_DMD_MT_MT,IND_DMD_MT_MT
IISPELLET01,IND_PRE_MT_MT,IND,.PRE.,IIS.Pellet Production.01,MT,MT,PRE,MISPLT,ANNUAL,"1,00",IND_PRE_MT_MT,IND_PRE_MT_MT
IISSINTER01,IND_PRE_MT_MT,IND,.PRE.,IIS.Sinter Production.01,MT,MT,PRE,MISSNT,ANNUAL,"1,00",IND_PRE_MT_MT,IND_PRE_MT_MT
IISSTMGAS00,industrial processes,IND,.PRE.,IIS.Generic Boiler.GAS,PJ,GW,PRE,IISHTH,ANNUAL,"0,00",Industry,Industry
IISSTMGMX01,industrial processes,IND,.PRE.,IIS. Iron and Steel.Heat.GMX.01,PJ,GW,PRE,IISHTH,ANNUAL,"1,00",Industry,Industry
ILMPRCCOA00,industrial processes,IND,.PRE.,ILM.Generic fuel kiln.COA,PJ,PJA,PRE,ILMPRC,ANNUAL,"0,00",Industry,Industry
ILMPRCCOK00,industrial processes,IND,.PRE.,ILM.Generic fuel kiln.COK,PJ,PJA,PRE,ILMPRC,ANNUAL,"0,00",Industry,Industry
ILMPRCCOL00,industrial processes,IND,.PRE.,ILM.Generic fuel kiln.COL,PJ,PJA,PRE,ILMPRC,ANNUAL,"0,00",Industry,Industry
ILMPRCGAS00,industrial processes,IND,.PRE.,ILM.Generic fuel kiln.GAS,PJ,PJA,PRE,ILMPRC,ANNUAL,"0,00",Industry,Industry
ILMPRCLFO00,industrial processes,IND,.PRE.,ILM.Generic fuel kiln.LFO,PJ,PJA,PRE,ILMPRC,ANNUAL,"0,00",Industry,Industry
ILMPRCLPG00,industrial processes,IND,.PRE.,ILM.Generic fuel kiln.LPG,PJ,PJA,PRE,ILMPRC,ANNUAL,"0,00",Industry,Industry
ILMPRCSLU00,industrial processes,IND,.PRE.,ILM.Generic fuel kiln.SLU,PJ,PJA,PRE,ILMPRC,ANNUAL,"0,00",Industry,Industry
ILMQLMPRCC02,IND_DMD_MT_MT,IND,.DMD.,ILM.Quick Lime Production.02.improv,MT,MT,DMD,ILM,ANNUAL,"1,00",IND_DMD_MT_MT,IND_DMD_MT_MT
ILMQLMPRO00,IND_DMD_MT_MTA,IND,.DMD.,ILM.Quick Lime Production.00.,MT,MTA,DMD,ILM,ANNUAL,"0,00",IND_DMD_MT_MTA,IND_DMD_MT_MTA
ILMQLMPRO01,IND_DMD_MT_MT,IND,.DMD.,ILM.Quick Lime Production.11,MT,MT,DMD,ILM,ANNUAL,"1,00",IND_DMD_MT_MT,IND_DMD_MT_MT
IMLEVA00,Energy demands for industrial processes,IND,.DMD.,IML.Evaporation and Powder.00,PJ,PJA,DMD,IML,ANNUAL,"0,00",Industry,Industry
IMLEVA03,IND_DMD_MT_MT,IND,.DMD.,IML.evaporation.milk.03,MT,MT,DMD,IML,ANNUAL,"1,00",IND_DMD_MT_MT,IND_DMD_MT_MT
IMLHTHSTMCPS01,industrial processes,IND,.PRE.,IML.Preparation.of.milk.Process Heat.CPS.01,PJ,GW,PRE,IMLHTH,ANNUAL,"1,00",Industry,Industry
IMLSTMGAS00,industrial processes,IND,.PRE.,IML.Generic Boiler.GAS,PJ,PJA,PRE,IMLHTH,ANNUAL,"0,00",Industry,Industry
IMLSTMOIL00,industrial processes,IND,.PRE.,IML.Generic Boiler.OIL,PJ,PJA,PRE,IMLHTH,ANNUAL,"0,00",Industry,Industry
IMPBIOCPS,Imports,SUP,.IMP.IRE.,Import Wood Chips,PJ,-,IRE,BIOCPS,ANNUAL,"0,00",Imports,Imports
IMPBIODST,Imports,SUP,.IMP.IRE.,Import biodiesel,PJ,-,IRE,BIODST,ANNUAL,"0,00",Imports,Imports
IMPBIOEFF,Imports,SUP,.IMP.IRE.,Import Effluents,MT,-,IRE,BIOEFF,ANNUAL,"0,00",Imports,Imports
IMPBIOETH,Imports,SUP,.IMP.IRE.,Import ethanol,PJ,-,IRE,BIOETH,ANNUAL,"0,00",Imports,Imports
